circuit,num_qubits,routing,seed,optimization_level,topology,mode,depth,transpile_time,total_gates,one_qubit_gates,two_qubit_gates,fidelity,success_prob
qft,10,basic,33,1,linear,noisy,273,0.007665300014195964,786,180,606,0.017333984375008757,0.017333984375
qft,10,lookahead,11,1,linear,noisy,193,1.0227273000054993,461,179,282,0.11206054687501701,0.112060546875
qft,10,lookahead,22,1,linear,noisy,174,1.0054940000118222,458,179,279,0.11328125000001789,0.11328125
qft,10,lookahead,33,1,linear,noisy,199,1.0901367999904323,467,179,288,0.11157226562501835,0.111572265625
qaoa,5,sabre,11,1,linear,noisy,32,0.0018897999834734946,64,45,19,0.9888096746034102,0.38916015625
qaoa,5,sabre,22,1,linear,noisy,32,0.0025093999865930527,64,45,19,0.9880608619379907,0.3974609375
qaoa,5,sabre,33,1,linear,noisy,32,0.0025197999784722924,64,45,19,0.9879152998479397,0.380126953125
qaoa,5,basic,11,1,linear,noisy,54,0.00348469999153167,70,45,25,0.9856398858553533,0.38720703125
qaoa,5,basic,22,1,linear,noisy,47,0.00390849998802878,68,45,23,0.9854817269840616,0.380615234375
qaoa,5,basic,33,1,linear,noisy,54,0.0031980999920051545,70,45,25,0.985238264848799,0.37451171875
qaoa,5,lookahead,11,1,linear,noisy,29,0.02853400001185946,64,45,19,0.9882350902322561,0.38818359375
qaoa,5,lookahead,22,1,linear,noisy,32,0.02739180001663044,64,45,19,0.9880608619379907,0.3974609375
qaoa,5,lookahead,33,1,linear,noisy,29,0.02829109999584034,64,45,19,0.9895642090357163,0.39404296875
qaoa,8,sabre,11,1,linear,noisy,50,0.003001300006872043,109,72,37,0.952919455329576,0.027099609375
qaoa,8,sabre,22,1,linear,noisy,47,0.0029008999990765005,109,72,37,0.9527390067193562,0.029052734375
qaoa,8,sabre,33,1,linear,noisy,44,0.0027219000039622188,109,72,37,0.9523608303636643,0.0263671875
qaoa,8,basic,11,1,linear,noisy,67,0.004175100009888411,112,72,40,0.9474321681689025,0.026123046875
qaoa,8,basic,22,1,linear,noisy,48,0.004219199996441603,106,72,34,0.9523212418428196,0.025634765625
qaoa,8,basic,33,1,linear,noisy,72,0.004053899989230558,112,72,40,0.947787866214743,0.02490234375
qaoa,8,lookahead,11,1,linear,noisy,47,0.1682687000138685,109,72,37,0.9505233430206835,0.029541015625
qaoa,8,lookahead,22,1,linear,noisy,50,0.12833770000725053,109,72,37,0.9485564374309062,0.0263671875
qaoa,8,lookahead,33,1,linear,noisy,41,0.16134059999603778,109,72,37,0.9481152032667511,0.02734375
qaoa,10,sabre,11,1,linear,noisy,59,0.0027357999933883548,137,90,47,0.8956327029380357,0.010498046875
qaoa,10,sabre,22,1,linear,noisy,62,0.0029566999874077737,137,90,47,0.8839318497807238,0.01123046875
qaoa,10,sabre,33,1,linear,noisy,62,0.0028894999995827675,137,90,47,0.8893753779621504,0.009765625
qaoa,10,basic,11,1,linear,noisy,87,0.0050577000074554235,143,90,53,0.884535333649822,0.009521484375
qaoa,10,basic,22,1,linear,noisy,68,0.00488630001200363,137,90,47,0.8847072588038215,0.009521484375
qaoa,10,basic,33,1,linear,noisy,57,0.0046931999968364835,134,90,44,0.892009416193209,0.008056640625
qaoa,10,lookahead,11,1,linear,noisy,59,0.26998519999324344,137,90,47,0.8956327029380357,0.010498046875
qaoa,10,lookahead,22,1,linear,noisy,62,0.2124113000172656,134,90,44,0.8934599472097552,0.01025390625
qaoa,10,lookahead,33,1,linear,noisy,62,0.3151817000180017,137,90,47,0.893508151080338,0.009033203125
