circuit,num_qubits,optimization_level,topology,seed,routing,depth,transpile_time,routing_overhead_2q,total_gates,one_qubit_gates,two_qubit_gates,mode,exec_time,fidelity,success_prob
ghz,5,0,linear,11,preset_default,8,0.002528700017137453,0,7,3,4,ideal,0.02117530000396073,0.9999310922823661,1.0
ghz,5,0,linear,11,preset_default,8,0.002528700017137453,0,7,3,4,noisy,0.01427540002623573,0.8825675320650527,0.882568359375
ghz,5,0,linear,22,preset_default,8,0.0006609999982174486,0,7,3,4,ideal,0.020056900015333667,0.9999985098816602,1.0
ghz,5,0,linear,22,preset_default,8,0.0006609999982174486,0,7,3,4,noisy,0.012474199989810586,0.8746882436168026,0.874755859375
ghz,5,0,linear,33,preset_default,8,0.000597400008700788,0,7,3,4,ideal,0.019516400003340095,0.9999899267135619,1.0
ghz,5,0,linear,33,preset_default,8,0.000597400008700788,0,7,3,4,noisy,0.012567099998705089,0.8820677628052839,0.882080078125
ghz,5,0,grid,11,preset_default,11,0.0037794999952893704,6,13,3,10,ideal,0.019727900013094768,0.9999310922823661,1.0
ghz,5,0,grid,11,preset_default,11,0.0037794999952893704,6,13,3,10,noisy,0.013727300014579669,0.8525320710158316,0.8525390625
ghz,5,0,grid,22,preset_default,13,0.0010133000032510608,6,13,3,10,ideal,0.019479100010357797,0.9999985098816602,1.0
ghz,5,0,grid,22,preset_default,13,0.0010133000032510608,6,13,3,10,noisy,0.014386199996806681,0.8300177317043614,0.830078125
ghz,5,0,grid,33,preset_default,13,0.0011717999877873808,6,13,3,10,ideal,0.020160600019153208,0.9999899267135619,1.0
ghz,5,0,grid,33,preset_default,13,0.0011717999877873808,6,13,3,10,noisy,0.013930999994045123,0.8417943259602337,0.841796875
ghz,5,0,heavy_hex,11,preset_default,19,0.0013012000126764178,24,31,3,28,ideal,0.02136770001379773,0.9999310922823661,1.0
ghz,5,0,heavy_hex,11,preset_default,19,0.0013012000126764178,24,31,3,28,noisy,0.02140170001075603,0.7746157089376277,0.774658203125
ghz,5,0,heavy_hex,22,preset_default,23,0.0020121000125072896,21,28,3,25,ideal,0.030925099999876693,0.9999985098816602,1.0
ghz,5,0,heavy_hex,22,preset_default,23,0.0020121000125072896,21,28,3,25,noisy,0.02984669999568723,0.790985483033527,0.791015625
ghz,5,0,heavy_hex,33,preset_default,17,0.0014210000226739794,18,25,3,22,ideal,0.021704400016460568,0.9999899267135619,1.0
ghz,5,0,heavy_hex,33,preset_default,17,0.0014210000226739794,18,25,3,22,noisy,0.033028599980752915,0.80810546875,0.80810546875
ghz,5,1,linear,11,preset_default,8,0.00208170001860708,0,7,3,4,ideal,0.020970999990822747,0.9999310922823661,1.0
ghz,5,1,linear,11,preset_default,8,0.00208170001860708,0,7,3,4,noisy,0.012667900009546429,0.8825675320650527,0.882568359375
ghz,5,1,linear,22,preset_default,8,0.0008224999764934182,0,7,3,4,ideal,0.021879600011743605,0.9999985098816602,1.0
ghz,5,1,linear,22,preset_default,8,0.0008224999764934182,0,7,3,4,noisy,0.014450400019995868,0.8746882436168026,0.874755859375
ghz,5,1,linear,33,preset_default,8,0.0008070999756455421,0,7,3,4,ideal,0.022059899987652898,0.9999899267135619,1.0
ghz,5,1,linear,33,preset_default,8,0.0008070999756455421,0,7,3,4,noisy,0.013705799996387213,0.8820677628052839,0.882080078125
ghz,5,1,grid,11,preset_default,8,0.0023702000034973025,0,7,3,4,ideal,0.021307499991962686,0.9999310922823661,1.0
ghz,5,1,grid,11,preset_default,8,0.0023702000034973025,0,7,3,4,noisy,0.013353399990592152,0.8818348560341112,0.8818359375
ghz,5,1,grid,22,preset_default,8,0.0009105999779421836,0,7,3,4,ideal,0.021200899995164946,0.9999985098816602,1.0
ghz,5,1,grid,22,preset_default,8,0.0009105999779421836,0,7,3,4,noisy,0.01397450000513345,0.8741955605938183,0.874267578125
ghz,5,1,grid,33,preset_default,8,0.0009446000040043145,0,7,3,4,ideal,0.021012999990489334,0.9999899267135619,1.0
ghz,5,1,grid,33,preset_default,8,0.0009446000040043145,0,7,3,4,noisy,0.01380570000037551,0.8820677628052839,0.882080078125
ghz,5,1,heavy_hex,11,preset_default,8,0.0012865000171586871,0,7,3,4,ideal,0.020936999993864447,0.9999310922823661,1.0
ghz,5,1,heavy_hex,11,preset_default,8,0.0012865000171586871,0,7,3,4,noisy,0.013250799995148554,0.8820787097731247,0.882080078125
ghz,5,1,heavy_hex,22,preset_default,8,0.0011898999800905585,0,7,3,4,ideal,0.02171279999311082,0.9999985098816602,1.0
ghz,5,1,heavy_hex,22,preset_default,8,0.0011898999800905585,0,7,3,4,noisy,0.013423500000499189,0.8737027361526498,0.873779296875
ghz,5,1,heavy_hex,33,preset_default,8,0.0011261999898124486,0,7,3,4,ideal,0.02151299998513423,0.9999899267135619,1.0
ghz,5,1,heavy_hex,33,preset_default,8,0.0011261999898124486,0,7,3,4,noisy,0.013522799999918789,0.8823109779418632,0.88232421875
ghz,5,2,linear,11,preset_default,8,0.004369100002804771,0,7,3,4,ideal,0.02245990000665188,0.9999310922823661,1.0
ghz,5,2,linear,11,preset_default,8,0.004369100002804771,0,7,3,4,noisy,0.01343079999787733,0.8825675320650527,0.882568359375
ghz,5,2,linear,22,preset_default,8,0.0016370000084862113,0,7,3,4,ideal,0.02064930001506582,0.9999985098816602,1.0
ghz,5,2,linear,22,preset_default,8,0.0016370000084862113,0,7,3,4,noisy,0.013734199979808182,0.8746882436168026,0.874755859375
ghz,5,2,linear,33,preset_default,8,0.001530899986391887,0,7,3,4,ideal,0.020944599993526936,0.9999899267135619,1.0
ghz,5,2,linear,33,preset_default,8,0.001530899986391887,0,7,3,4,noisy,0.013005900022108108,0.8820677628052839,0.882080078125
ghz,5,2,grid,11,preset_default,8,0.0016199999954551458,0,7,3,4,ideal,0.021374400006607175,0.9999310922823661,1.0
ghz,5,2,grid,11,preset_default,8,0.0016199999954551458,0,7,3,4,noisy,0.014328799996292219,0.8818348560341112,0.8818359375
ghz,5,2,grid,22,preset_default,8,0.0015636000025551766,0,7,3,4,ideal,0.020660600013798103,0.9999985098816602,1.0
ghz,5,2,grid,22,preset_default,8,0.0015636000025551766,0,7,3,4,noisy,0.014439899998251349,0.8741955605938183,0.874267578125
ghz,5,2,grid,33,preset_default,8,0.0017534000216983259,0,7,3,4,ideal,0.02041800000006333,0.9999899267135619,1.0
ghz,5,2,grid,33,preset_default,8,0.0017534000216983259,0,7,3,4,noisy,0.013538300001528114,0.8820677628052839,0.882080078125
ghz,5,2,heavy_hex,11,preset_default,8,0.0017606000183150172,0,7,3,4,ideal,0.02126999999745749,0.9999310922823661,1.0
ghz,5,2,heavy_hex,11,preset_default,8,0.0017606000183150172,0,7,3,4,noisy,0.013802800007397309,0.8820787097731247,0.882080078125
ghz,5,2,heavy_hex,22,preset_default,8,0.0017516000079922378,0,7,3,4,ideal,0.021074699994642287,0.9999985098816602,1.0
ghz,5,2,heavy_hex,22,preset_default,8,0.0017516000079922378,0,7,3,4,noisy,0.01379530000849627,0.8737027361526498,0.873779296875
ghz,5,2,heavy_hex,33,preset_default,8,0.0019527999975252897,0,7,3,4,ideal,0.020673799997894093,0.9999899267135619,1.0
ghz,5,2,heavy_hex,33,preset_default,8,0.0019527999975252897,0,7,3,4,noisy,0.013103000004775822,0.8823109779418632,0.88232421875
ghz,5,3,linear,11,preset_default,8,0.0033648000098764896,0,7,3,4,ideal,0.021539100009249523,0.9999310922823661,1.0
ghz,5,3,linear,11,preset_default,8,0.0033648000098764896,0,7,3,4,noisy,0.01363359999959357,0.8825675320650527,0.882568359375
ghz,5,3,linear,22,preset_default,8,0.0020241999882273376,0,7,3,4,ideal,0.02086709998548031,0.9999985098816602,1.0
ghz,5,3,linear,22,preset_default,8,0.0020241999882273376,0,7,3,4,noisy,0.012803699995856732,0.8746882436168026,0.874755859375
ghz,5,3,linear,33,preset_default,8,0.0019477999885566533,0,7,3,4,ideal,0.021515100001124665,0.9999899267135619,1.0
ghz,5,3,linear,33,preset_default,8,0.0019477999885566533,0,7,3,4,noisy,0.013446900004055351,0.8820677628052839,0.882080078125
ghz,5,3,grid,11,preset_default,8,0.001948200020706281,0,7,3,4,ideal,0.02190120000159368,0.9999310922823661,1.0
ghz,5,3,grid,11,preset_default,8,0.001948200020706281,0,7,3,4,noisy,0.013999799994053319,0.8818348560341112,0.8818359375
ghz,5,3,grid,22,preset_default,8,0.001687900017714128,0,7,3,4,ideal,0.021309000003384426,0.9999985098816602,1.0
ghz,5,3,grid,22,preset_default,8,0.001687900017714128,0,7,3,4,noisy,0.013841899984981865,0.8741955605938183,0.874267578125
ghz,5,3,grid,33,preset_default,8,0.0018260000215377659,0,7,3,4,ideal,0.021657700010109693,0.9999899267135619,1.0
ghz,5,3,grid,33,preset_default,8,0.0018260000215377659,0,7,3,4,noisy,0.013694799999939278,0.8820677628052839,0.882080078125
ghz,5,3,heavy_hex,11,preset_default,8,0.002339900005608797,0,7,3,4,ideal,0.021021799999289215,0.9999310922823661,1.0
ghz,5,3,heavy_hex,11,preset_default,8,0.002339900005608797,0,7,3,4,noisy,0.013880700018489733,0.8820787097731247,0.882080078125
ghz,5,3,heavy_hex,22,preset_default,8,0.0022601000091526657,0,7,3,4,ideal,0.020636900007957593,0.9999985098816602,1.0
ghz,5,3,heavy_hex,22,preset_default,8,0.0022601000091526657,0,7,3,4,noisy,0.015252800018060952,0.8737027361526498,0.873779296875
ghz,5,3,heavy_hex,33,preset_default,8,0.002077799988910556,0,7,3,4,ideal,0.020905099983792752,0.9999899267135619,1.0
ghz,5,3,heavy_hex,33,preset_default,8,0.002077799988910556,0,7,3,4,noisy,0.013969499996164814,0.8823109779418632,0.88232421875
ghz,8,0,linear,11,preset_default,11,0.0006861000147182494,0,10,3,7,ideal,0.026069799991091713,0.9999310922823661,1.0
ghz,8,0,linear,11,preset_default,11,0.0006861000147182494,0,10,3,7,noisy,0.020271000015782192,0.8000483624918616,0.800048828125
ghz,8,0,linear,22,preset_default,11,0.0008952999778557569,0,10,3,7,ideal,0.026582199992844835,0.9999269789780805,1.0
ghz,8,0,linear,22,preset_default,11,0.0008952999778557569,0,10,3,7,noisy,0.019078199984505773,0.8053754982637732,0.805419921875
ghz,8,0,linear,33,preset_default,11,0.0007086000114213675,0,10,3,7,ideal,0.02656800000113435,0.9999961852881822,1.0
ghz,8,0,linear,33,preset_default,11,0.0007086000114213675,0,10,3,7,noisy,0.019024200009880587,0.8137176083213286,0.813720703125
ghz,8,0,grid,11,preset_default,20,0.0014232000103220344,12,22,3,19,ideal,0.026511199976084754,0.9999310922823661,1.0
ghz,8,0,grid,11,preset_default,20,0.0014232000103220344,12,22,3,19,noisy,0.02037050001672469,0.7321760858725702,0.732177734375
ghz,8,0,grid,22,preset_default,15,0.0012036999978590757,9,19,3,16,ideal,0.03480470000067726,0.9999269789780805,1.0
ghz,8,0,grid,22,preset_default,15,0.0012036999978590757,9,19,3,16,noisy,0.02064750000135973,0.7565703482885245,0.756591796875
ghz,8,0,grid,33,preset_default,21,0.0012104999914299697,15,25,3,22,ideal,0.026147900003707036,0.9999961852881822,1.0
ghz,8,0,grid,33,preset_default,21,0.0012104999914299697,15,25,3,22,noisy,0.020402199996169657,0.7194540674732437,0.719482421875
ghz,8,0,heavy_hex,11,preset_default,38,0.0013589999871328473,45,55,3,52,ideal,0.028513900004327297,0.9999310922823661,1.0
ghz,8,0,heavy_hex,11,preset_default,38,0.0013589999871328473,45,55,3,52,noisy,1.1958177000051364,0.6469711821900378,0.64697265625
ghz,8,0,heavy_hex,22,preset_default,37,0.0012413999938871711,36,46,3,43,ideal,0.039888300001621246,0.9999269789780805,1.0
ghz,8,0,heavy_hex,22,preset_default,37,0.0012413999938871711,36,46,3,43,noisy,1.031930299999658,0.662835299883084,0.662841796875
ghz,8,0,heavy_hex,33,preset_default,37,0.0015218000044114888,36,46,3,43,ideal,0.02672229998279363,0.9999961852881822,1.0
ghz,8,0,heavy_hex,33,preset_default,37,0.0015218000044114888,36,46,3,43,noisy,1.0300021000148263,0.6596657098541727,0.65966796875
ghz,8,1,linear,11,preset_default,11,0.0013665000151377171,0,10,3,7,ideal,0.02544050000142306,0.9999310922823661,1.0
ghz,8,1,linear,11,preset_default,11,0.0013665000151377171,0,10,3,7,noisy,0.021719299984397367,0.8000483624918616,0.800048828125
ghz,8,1,linear,22,preset_default,11,0.0009515999990981072,0,10,3,7,ideal,0.02629829998477362,0.9999269789780805,1.0
ghz,8,1,linear,22,preset_default,11,0.0009515999990981072,0,10,3,7,noisy,0.0215543000085745,0.8053754982637732,0.805419921875
ghz,8,1,linear,33,preset_default,11,0.0010147999855689704,0,10,3,7,ideal,0.026656000001821667,0.9999961852881822,1.0
ghz,8,1,linear,33,preset_default,11,0.0010147999855689704,0,10,3,7,noisy,0.01930220000213012,0.8137176083213286,0.813720703125
ghz,8,1,grid,11,preset_default,11,0.001125300012063235,0,10,3,7,ideal,0.026946199999656528,0.9999310922823661,1.0
ghz,8,1,grid,11,preset_default,11,0.001125300012063235,0,10,3,7,noisy,0.019460200011963025,0.800047915483539,0.800048828125
ghz,8,1,grid,22,preset_default,11,0.0011425000266171992,0,10,3,7,ideal,0.027105599991045892,0.9999269789780805,1.0
ghz,8,1,grid,22,preset_default,11,0.0011425000266171992,0,10,3,7,noisy,0.01962400000775233,0.8056214466094535,0.8056640625
ghz,8,1,grid,33,preset_default,11,0.0014448000001721084,0,10,3,7,ideal,0.02681730000767857,0.9999961852881822,1.0
ghz,8,1,grid,33,preset_default,11,0.0014448000001721084,0,10,3,7,noisy,0.021183300006669015,0.8134739247175871,0.8134765625
ghz,8,1,heavy_hex,11,preset_default,11,0.0013103999954182655,0,10,3,7,ideal,0.026613199996063486,0.9999310922823661,1.0
ghz,8,1,heavy_hex,11,preset_default,11,0.0013103999954182655,0,10,3,7,noisy,0.01923879998503253,0.7998034951142176,0.7998046875
ghz,8,1,heavy_hex,22,preset_default,11,0.0012846000026911497,0,10,3,7,ideal,0.02646009999443777,0.9999269789780805,1.0
ghz,8,1,heavy_hex,22,preset_default,11,0.0012846000026911497,0,10,3,7,noisy,0.021619200007990003,0.8051331395132416,0.80517578125
ghz,8,1,heavy_hex,33,preset_default,11,0.0013598999939858913,0,10,3,7,ideal,0.026029299973743036,0.9999961852881822,1.0
ghz,8,1,heavy_hex,33,preset_default,11,0.0013598999939858913,0,10,3,7,noisy,0.02230119999148883,0.8132302047407939,0.813232421875
ghz,8,2,linear,11,preset_default,11,0.00160599997616373,0,10,3,7,ideal,0.027188200008822605,0.9999310922823661,1.0
ghz,8,2,linear,11,preset_default,11,0.00160599997616373,0,10,3,7,noisy,0.020274900016374886,0.8000483624918616,0.800048828125
ghz,8,2,linear,22,preset_default,11,0.0015546000213362277,0,10,3,7,ideal,0.02580639999359846,0.9999269789780805,1.0
ghz,8,2,linear,22,preset_default,11,0.0015546000213362277,0,10,3,7,noisy,0.02091870000003837,0.8053754982637732,0.805419921875
ghz,8,2,linear,33,preset_default,11,0.0015669999993406236,0,10,3,7,ideal,0.025862000009510666,0.9999961852881822,1.0
ghz,8,2,linear,33,preset_default,11,0.0015669999993406236,0,10,3,7,noisy,0.0314205999893602,0.8137176083213286,0.813720703125
ghz,8,2,grid,11,preset_default,11,0.0016718999831937253,0,10,3,7,ideal,0.025411900016479194,0.9999310922823661,1.0
ghz,8,2,grid,11,preset_default,11,0.0016718999831937253,0,10,3,7,noisy,0.020136800012551248,0.800047915483539,0.800048828125
ghz,8,2,grid,22,preset_default,11,0.00185650002094917,0,10,3,7,ideal,0.027597000007517636,0.9999269789780805,1.0
ghz,8,2,grid,22,preset_default,11,0.00185650002094917,0,10,3,7,noisy,0.02113479998661205,0.8056214466094535,0.8056640625
ghz,8,2,grid,33,preset_default,11,0.001538599986815825,0,10,3,7,ideal,0.025494300003629178,0.9999961852881822,1.0
ghz,8,2,grid,33,preset_default,11,0.001538599986815825,0,10,3,7,noisy,0.01989080000203103,0.8134739247175871,0.8134765625
ghz,8,2,heavy_hex,11,preset_default,11,0.0019041000050492585,0,10,3,7,ideal,0.02652349998243153,0.9999310922823661,1.0
ghz,8,2,heavy_hex,11,preset_default,11,0.0019041000050492585,0,10,3,7,noisy,0.021261299989419058,0.7998034951142176,0.7998046875
ghz,8,2,heavy_hex,22,preset_default,11,0.0017640000151004642,0,10,3,7,ideal,0.027407600020524114,0.9999269789780805,1.0
ghz,8,2,heavy_hex,22,preset_default,11,0.0017640000151004642,0,10,3,7,noisy,0.021294800011673942,0.8051331395132416,0.80517578125
ghz,8,2,heavy_hex,33,preset_default,11,0.0021269999851938337,0,10,3,7,ideal,0.0261739999987185,0.9999961852881822,1.0
ghz,8,2,heavy_hex,33,preset_default,11,0.0021269999851938337,0,10,3,7,noisy,0.019204000011086464,0.8132302047407939,0.813232421875
ghz,8,3,linear,11,preset_default,11,0.0018595999863464385,0,10,3,7,ideal,0.025601699977414683,0.9999310922823661,1.0
ghz,8,3,linear,11,preset_default,11,0.0018595999863464385,0,10,3,7,noisy,0.019223100011004135,0.8000483624918616,0.800048828125
ghz,8,3,linear,22,preset_default,11,0.0020586999889928848,0,10,3,7,ideal,0.027045599999837577,0.9999269789780805,1.0
ghz,8,3,linear,22,preset_default,11,0.0020586999889928848,0,10,3,7,noisy,0.021429700020235032,0.8053754982637732,0.805419921875
